,ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,epsChange,bookValuePerShareChange,industry,organName,pe_avg,volume_average
0,GAS,Q3,2018,15.6,4.6,0.305,0.206,6556.0,22202.0,0.116,-0.016,"Điện, nước & xăng dầu khí đốt",Tổng Công ty Khí Việt Nam - Công ty Cổ phần,2.8712643678160923,744497.0
1,VJC,Q3,2018,15.0,6.5,0.524,0.178,10036.0,22985.0,0.152,0.059,Du lịch và Giải trí,Công ty Cổ phần Hàng không Vietjet,11.117241379310345,488010.5
2,FPT,Q3,2018,8.0,2.2,0.289,0.112,3579.0,13083.0,0.046,0.009,Công nghệ Thông tin,Công ty Cổ phần FPT,5.3809523809523805,803399.5
3,KSB,Q3,2018,6.4,2.1,0.372,0.144,4070.0,12404.0,0.048,0.065,Tài nguyên Cơ bản,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,-17.979487179487176,266376.0
4,PNJ,Q3,2018,18.5,5.0,0.3,0.192,4029.0,14875.0,0.06,0.005,Hàng cá nhân & Gia dụng,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,0.9435897435897436,478995.5
5,TCM,Q3,2018,6.2,1.2,0.207,0.074,3286.0,17138.0,0.234,0.086,Hàng cá nhân & Gia dụng,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,0.9435897435897436,190697.0
6,DHG,Q3,2018,19.8,4.0,0.207,0.146,4553.0,22422.0,0.001,0.003,Y tế,Công ty Cổ phần Dược Hậu Giang,2.17037037037037,189388.5
7,VCS,Q3,2018,12.5,4.8,0.432,0.274,6669.0,17592.0,0.002,0.04,Xây dựng và Vật liệu,Công ty Cổ phần VICOSTONE,-20.056923076923077,181940.9
8,GMD,Q3,2018,3.8,1.3,0.315,0.181,6196.0,18944.0,0.015,-0.037,Hàng & Dịch vụ Công nghiệp,Công ty Cổ phần Gemadept,1.2550724637681188,486975.5
